date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-07-13,234.0,243061.0,9.0,34954.0,14006.0,2647583.0,4020.073623973129,578.1168243871158,43789.331013941555
2020-07-14,169.0,243230.0,13.0,34967.0,24222.0,2671805.0,4022.8687759820955,578.3318360801132,44189.94741607879
2020-07-15,114.0,243344.0,17.0,34984.0,28392.0,2700197.0,4024.7542631360734,578.6130052171098,44659.53295358519
2020-07-16,162.0,243506.0,13.0,34997.0,28089.0,2728286.0,4027.4336396180415,578.8280169101073,45124.10706470866
2020-07-17,230.0,243736.0,20.0,35017.0,28661.0,2756947.0,4031.237692647996,579.1588041301034,45598.14169032402
2020-07-18,231.0,243967.0,11.0,35028.0,27569.0,2784516.0,4035.0582850389505,579.3407371011012,46054.11533372759
2020-07-19,249.0,244216.0,14.0,35042.0,20621.0,2805137.0,4039.1765859279017,579.5722881550985,46395.17349690453
2020-07-20,218.0,244434.0,3.0,35045.0,14121.0,2819258.0,4042.7821666258587,579.6219062380978,46628.72581358274
2020-07-21,190.0,244624.0,13.0,35058.0,23915.0,2843173.0,4045.9246452158213,579.8369179310953,47024.264631893035
2020-07-22,128.0,244752.0,15.0,35073.0,29288.0,2872461.0,4048.041683423796,580.0850083460923,47508.66943685526
2020-07-23,280.0,245032.0,9.0,35082.0,33018.0,2905479.0,4052.672704503741,580.2338625950906,48054.766058346766
2020-07-24,306.0,245338.0,10.0,35092.0,28970.0,2934449.0,4057.7337489696806,580.3992562050886,48533.91134651106
2020-07-25,252.0,245590.0,5.0,35097.0,28059.0,2962508.0,4061.901667941631,580.4819530100876,48997.98927680453
2020-07-26,274.0,245864.0,5.0,35102.0,25177.0,2987685.0,4066.433452855577,580.5646498150867,49414.40076869657
2020-07-27,254.0,246118.0,5.0,35107.0,19374.0,3007059.0,4070.6344505495267,580.6473466200856,49734.834348706754
2020-07-28,168.0,246286.0,5.0,35112.0,25341.0,3032400.0,4073.413063197494,580.7300434250847,50153.95829580277
2020-07-29,202.0,246488.0,11.0,35123.0,30875.0,3063275.0,4076.754014119454,580.9119763960825,50664.611066671685
2020-07-30,288.0,246776.0,6.0,35129.0,33396.0,3096671.0,4081.5173500873975,581.0112125620814,51216.95956662111
2020-07-31,382.0,247158.0,3.0,35132.0,29686.0,3126357.0,4087.8353859893223,581.0608306450807,51707.94703726126
2020-08-01,379.0,247537.0,9.0,35141.0,31905.0,3158262.0,4094.1038038082474,581.2096848940789,52235.63534995998
2020-08-02,295.0,247832.0,5.0,35146.0,24496.0,3182758.0,4098.98291530319,581.292381699078,52640.78353701116
2020-08-03,238.0,248070.0,8.0,35154.0,13467.0,3196225.0,4102.919283221142,581.4246965870764,52863.5191115955
2020-08-04,159.0,248229.0,12.0,35166.0,23491.0,3219716.0,4105.549041620111,581.623168919074,53252.04524084187
2020-08-05,190.0,248419.0,5.0,35171.0,29739.0,3249455.0,4108.691520210074,581.7058657240731,53743.90929761502
2020-08-06,384.0,248803.0,10.0,35181.0,32169.0,3281624.0,4115.042634833998,581.871259334071,54275.964001617685
2020-08-07,401.0,249204.0,6.0,35187.0,30392.0,3312016.0,4121.674918594919,581.9704955000699,54778.6282611237
2020-08-08,552.0,249756.0,3.0,35190.0,26631.0,3338647.0,4130.8046458668105,582.0201135830694,55219.08798390945
2020-08-09,347.0,250103.0,13.0,35203.0,22773.0,3361420.0,4136.543804133742,582.2351252760667,55595.73885195797
2020-08-10,463.0,250566.0,2.0,35205.0,10904.0,3372324.0,4144.201528276651,582.2682039980664,55776.084044299816
2020-08-11,259.0,250825.0,4.0,35209.0,22063.0,3394387.0,4148.4852227756,582.3343614420655,56140.99196603848
2020-08-12,412.0,251237.0,6.0,35215.0,27330.0,3421717.0,4155.299439507518,582.4335976080644,56593.01270216309
2020-08-13,476.0,251713.0,10.0,35225.0,25629.0,3447346.0,4163.172175343425,582.5989912180625,57016.89998522704
2020-08-14,522.0,252235.0,6.0,35231.0,24868.0,3472214.0,4171.805721785322,582.6982273840613,57428.20081457015
2020-08-15,574.0,252809.0,3.0,35234.0,25937.0,3498151.0,4181.299314999209,582.7478454670606,57857.18222082204
2020-08-16,629.0,253438.0,158.0,35392.0,22470.0,3520621.0,4191.702573068085,585.3610645050295,58228.82166248761
2020-08-17,477.0,253915.0,4.0,35396.0,21379.0,3542000.0,4199.591848264991,585.4272219490288,58582.4166613024
2020-08-18,320.0,254235.0,4.0,35400.0,32687.0,3574687.0,4204.884443784928,585.4933793930279,59123.038754302965
2020-08-19,401.0,254636.0,5.0,35405.0,41290.0,3615977.0,4211.516727545849,585.576076198027,59805.94896998483
2020-08-20,642.0,255278.0,7.0,35412.0,49662.0,3665639.0,4222.134997307723,585.6918517250256,60627.32671595705
2020-08-21,840.0,256118.0,6.0,35418.0,44943.0,3710582.0,4236.028060547557,585.7910878910244,61370.6552173712
2020-08-22,947.0,257065.0,9.0,35427.0,46613.0,3757195.0,4251.690835414371,585.9399421400226,62141.60445165502
2020-08-23,1071.0,258136.0,3.0,35430.0,47463.0,3804658.0,4269.40449104516,585.9895602230221,62926.61214278867
2020-08-24,1209.0,259345.0,7.0,35437.0,33358.0,3838016.0,4289.400578493922,586.1053357500207,63478.3321470201
