id,name,added_at,duration_sec,popularity,artists,genres
6aZ8xwHXBLY8Cph8GWdtWr,Automatic (feat. Jake Miller),2023-02-08T18:24:03Z,157.472,62,"[{'artist': 'Fly By Midnight', 'artist_id': '4rQTEdG6hDVOlDUFKs9EjZ'}, {'artist': 'Jake Miller', 'artist_id': '3gggmBN0erstm3YJvEGe3t'}]","['electropop', 'pop', 'tropical house', 'indie pop rap', 'post-teen pop']"
09lHMI8JCO8EbGBR9yDvMp,Cutie,2023-02-08T18:11:31Z,184.315,54,"[{'artist': 'COIN', 'artist_id': '0ZxZlO7oWCSYMXhehpyMvE'}]","['indie pop', 'modern rock', 'pop']"
4u7EnebtmKWzUH433cf5Qv,Bohemian Rhapsody - Remastered 2011,2023-02-08T18:09:57Z,354.32,78,"[{'artist': 'Queen', 'artist_id': '1dfeR4HaWDbWqFHLkxsg1d'}]","['classic rock', 'glam rock', 'rock']"
0GO8y8jQk1PkHzS31d699N,Tongue Tied,2023-02-08T18:08:36Z,218.013,75,"[{'artist': 'Grouplove', 'artist_id': '3kVUvbeRdcrqQ3oHk5hPdx'}]","['indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'rock', 'stomp and holler']"
4cZ3UsiKd1kUQIaq4BFIj2,No One Compares To You,2023-02-08T18:06:55Z,182.92000000000002,63,"[{'artist': 'Jack & Jack', 'artist_id': '1INuLZXjjVbcJRyWvD1iSq'}]","['dance pop', 'pop', 'post-teen pop', 'social media pop', 'teen pop']"
3aVyHFxRkf8lSjhWdJ68AW,Just Another Girl,2023-02-08T18:05:35Z,262.0,59,"[{'artist': 'The Killers', 'artist_id': '0C0XlULifJtAgn6ZNCW2eu'}]","['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']"
2IWWOWS7n00wpz1ewqEC8w,Infinitely Ordinary,2023-02-08T18:04:28Z,172.986,50,"[{'artist': 'The Wrecks', 'artist_id': '458aS6ALc3QkzwfR5USt34'}]","['la indie', 'modern alternative rock', 'modern rock', 'rock']"
57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony,2023-02-08T18:03:24Z,357.266,76,"[{'artist': 'The Verve', 'artist_id': '2cGwlqi3k18jFpUyTrsR84'}]","['alternative rock', 'britpop', 'permanent wave', 'pop rock', 'rock', 'shoegaze']"
2cGxRwrMyEAp8dEbuZaVv6,Instant Crush (feat. Julian Casablancas),2023-02-08T17:52:08Z,337.56,73,"[{'artist': 'Daft Punk', 'artist_id': '4tZwfgrHOc3mvqYlEYSvVi'}, {'artist': 'Julian Casablancas', 'artist_id': '1rAv1GhTQ2rmG94p9lU3rB'}]","['electro', 'filter house', 'indie rock']"
3H43T5swYywvcdCBFiDgW6,Manwa Laage,2023-02-08T06:41:23Z,272.082,58,"[{'artist': 'Shreya Ghoshal', 'artist_id': '0oOet2f43PA68X5RxKobEy'}, {'artist': 'Arijit Singh', 'artist_id': '4YRxDV8wJFPHPTeXepOstw'}]","['desi pop', 'filmi', 'modern bollywood']"
0sT56zcByY6pW1EQcNDCla,Ravi,2023-02-06T15:19:12Z,229.46200000000002,36,"[{'artist': 'Sajjad Ali', 'artist_id': '5THsb9SGB89ZN6mj7ZYVSD'}]","['classic pakistani pop', 'ghazal', 'pakistani pop', 'sufi']"
